87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG56.PA9,31_disaster_risk_disasters_hazards,0.8592756179272217,31,0,0.0,disaster,risk,disasters,hazards,vulnerability,events,floods,risks,natural,hazard
87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG57.PA5,18_indigenous_knowledge_local_peoples,0.6453773912106103,18,0,0.0,indigenous,knowledge,local,peoples,traditional,ilk,cultural,communities,sacred,nature
87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG57.PA17,39_carbon_co2_vegetation_net,0.8348738503083655,39,0,0.0,carbon,co2,vegetation,net,sink,emissions,biomass,atmospheric,forest,air
87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG59.PA4,4_fisheries_fishing_aquaculture_marine,1.0,4,0,0.0,fisheries,fishing,aquaculture,marine,fish,fishers,management,stocks,fishery,coastal
87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG59.PA5,13_forest_forests_wood_timber,0.9127482526934785,13,0,0.0,forest,forests,wood,timber,forestry,logging,deforestation,asia,management,production
87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG61.PA69,4_fisheries_fishing_aquaculture_marine,1.0,4,0,0.0,fisheries,fishing,aquaculture,marine,fish,fishers,management,stocks,fishery,coastal
87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG61.PA70,3_water_groundwater_resources_irrigation,0.4081150289721002,3,0,0.0,water,groundwater,resources,irrigation,river,management,supply,freshwater,basin,hydropower
87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG61.PA72,66_wetlands_wetland_ramsar_water,0.7346498342449386,66,0,0.0,wetlands,wetland,ramsar,water,convention,pollution,loss,wise,freshwater,in
87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG64.PA11,14_wildlife_disease_trade_diseases,0.9441275921535939,14,0,0.0,wildlife,disease,trade,diseases,animal,animals,zoonosis,pathogens,infectious,human
87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG65.PA14,12_sanitation_basic_schools_coverage,0.8935582996860288,12,0,0.0,sanitation,basic,schools,coverage,drinking,hygiene,safely,water,services,facilities
87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG66.PA16,12_sanitation_basic_schools_coverage,0.7960319968656698,12,0,0.0,sanitation,basic,schools,coverage,drinking,hygiene,safely,water,services,facilities
87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG67.PA5,31_disaster_risk_disasters_hazards,0.6901256185867589,31,0,0.0,disaster,risk,disasters,hazards,vulnerability,events,floods,risks,natural,hazard
87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG67.PA6,31_disaster_risk_disasters_hazards,0.4685107281505284,31,0,0.0,disaster,risk,disasters,hazards,vulnerability,events,floods,risks,natural,hazard
87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG67.PA10,2_gender_women_gbv_violence,0.9540855621414135,2,0,0.0,gender,women,gbv,violence,womens,men,rights,and,equality,their
87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG71.PA1,36_invasive_alien_species_native,0.29587547225524546,36,0,0.0,invasive,alien,species,native,invasion,invasions,ias,introduction,control,islands
87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG71.PA8,4_fisheries_fishing_aquaculture_marine,1.0,4,0,0.0,fisheries,fishing,aquaculture,marine,fish,fishers,management,stocks,fishery,coastal
